時: [時]期尚早 [時]代錯誤 四六[時]中 戦国[時]代 臨[時]収入 ;; 2120
肉: 弱[肉]強食 酒池[肉]林 中[肉]中背 [肉]体労働 焼[肉]定食 ;; 1310
手: 常套[手]段 先[手]必勝 [手]前味噌 [手]練[手]管 約束[手]形 ;; 2130
多: 前途[多]難 [多]事[多]難 [多]種[多]様 [多]情[多]感 薄利[多]売 ;; 3050
難: 前途多[難] 多事多[難] [難]攻不落 無理[難]題 避[難]訓練 ;; 1112
情: 愛[情]表現 異国[情]緒 純[情]可憐 [情]状酌量 多[情]多感 義理人[情] ;; 1311
戦: 悪[戦]苦闘 人海[戦]術 [戦]国時代 [戦]々恐々 百[戦]錬磨 連[戦]連勝 ;; 2310
然: 一目瞭[然] 旧態依[然] 渾[然]一体 茫[然]自失 理路整[然] 突[然]変異 ;; 0303
世: 一[世]一代 一[世]風靡 経[世]済民 [世]代交代 [世]界征服 立身出[世] ;; 2301
味: 意[味]深長 興[味]津々 山海珍[味] 賞[味]期限 手前[味]噌 無[味]乾燥 ;; 0411
名: 汚[名]返上 大義[名]分 大[名]行列 [名]誉毀損 [名]誉挽回 有[名]無実 ;; 2310
面: 喜色満[面] 四[面]楚歌 得意満[面] 反[面]教師 [面]目躍如 三[面]記事 ;; 1302
前: 空[前]絶後 [前]人未踏 [前]代未聞 [前]途多難 敵[前]逃亡 手[前]味噌 ;; 3300
言: 巧[言]令色 [言]語道断 大[言]壮語 他[言]無用 罵詈雑[言] 不[言]実行 ;; 1401
和: 小春日[和] 不協[和]音 付[和]雷同 飽[和]状態 [和]気藹々 [和]洋折衷 ;; 2211
分: 五[分]五[分] 思慮[分]別 大義名[分] 身[分]相応 空中[分]解 三権[分]立 ;; 0232
四: 再三再[四] [四]苦八苦 [四]捨五入 [四]方八方 [四]面楚歌 [四]六時中 ;; 5001
者: 三[者]三様 盛[者]必衰 第一人[者] 大根役[者] 適[者]生存 二[者]択一 ;; 0402
